Anzahl;Wert;Device;Package;Mouser-Nr.;;Parts
1;;6.29105E+11;6.29105E+11;;;J1
1;;6.93071E+11;6.93071E+11;;;J2
2;;LED_E;LED_1206;;;LED1, LED2
3;;PMOSSOT23;SOT-23;;;T1, T2, T3
1;0R;C-EUC0603;C0603;;;C28
1;0R;R-EU_MELF0102W;MINI_MELF-0102W;;;R38
1;0R;R-EU_R0603;R0603;;;R29
1;100k;R-EU_R0402;R0402;;;R4
7;100n;C-EUC0402;C0402;;;C7, C9, C11, C14, C15, C16, C19
6;100n;C-EUC0603;C0603;;;C5, C22, C25, C27, C30, C31
1;100u;C-EUC1206;C1206;;;C34
7;10k;R-EU_R0603;R0603;;;R11, R21, R22, R23, R24, R25, R26
4;10u;C-EUC0805;C0805;;;C1, C2, C3, C6
1;12k;R-EU_R0402;R0402;;;R6
1;150;R-EU_R0603;R0603;;;R18
2;15k;R-EU_R0402;R0402;;;R34, R35
1;15k;R-EU_R0603;R0603;;;R19
4;1751248;1751248;1751248;;;X1, X2, X3, X4
1;1M;R-EU_R0402;R0402;;;R7
10;1k;R-EU_R0603;R0603;;;R12, R14, R27, R28, R31, R37, R39, R40, R41, R42
4;1n;C-EUC0402;C0402;;;C8, C10, C12, C17
1;1n;C-EUC0603;C0603;;;C26
2;1u;C-EUC0402;C0402;;;C13, C18
2;1u;C-EUC0603;C0603;;;C4, C23
1;1u;C-EUC0805K;C0805K;;;C32
1;2k;R-EU_R0603;R0603;;;R1
1;330R;R-EU_R0603;R0603;;;R20
3;470k;R-EU_R0603;R0603;;;R10, R16, R17
1;5.6u;C-EUC0603;C0603;;;C29
2;8p;C-EUC0402;C0402;;;C20, C21
1;ACM_52832_VER2;ACM_52832_VER2;ACONNO_ACM_52832;;;MOD1
1;BAS40-05;BAS40-05;SOT23;;;D1
1;CRYSTAL.3.2X2.5MM;CRYSTAL.3.2X2.5MM;3.2X2.5MM;;;Y1
1;DEBUG_CONNECTOR;DEBUG_CONNECTOR;HDRV127P5X2-10_N;;;J3
2;Ferit Bead;R-EU_R0603;R0603;;;R8, R9
1;LT1963EST-1.5;LT1963EST-1.5;SOT223;;;IC2
1;MCP73831;MCP73831;SOT23-5;;;IC1
1;NP;R-EU_R0402;R0402;;;R5
6;NP;R-EU_R0603;R0603;;;R2, R3, R13, R15, R30, R36
7;SW_TACT_SMD;SW_TACT_SMD;EVQ-Q2;;;SW1, SW2, SW3, SW4, SW5, SW6, SW7
1;TS3A27;TS3A27;TSSOP24;;;GND
1;TS487ID;TS4890D;SO08-6.0;;;U$1
1;VUB300;VUB300;QFN36-6X6;;;IC3
1;WTV020SD-20S;WTV020SD;SSOP_20;;;IC5
